name,type,nyse,
Harris Corporation ,NYSE,HRS,_- Information Technology / Telecommunications Equipment
Hartford Financial Services Group Inc ,NYSE,HIG,
"Hasbro, Inc. ",NASDAQ,HAS,_- Consumer Discretionary / Leisure Products
HCA Holdings Inc ,NYSE,HCA,_- Health Care / Health Care Facilities
"HCP, Inc. ",NYSE,HCP,_- Financials / REITs
"Health Care REIT, Inc. ",NYSE,HCN,_- Financials / REITs
"Helmerich & Payne, Inc. ",NYSE,HP,_- Energy / Oil & Gas Drilling
Hershey Co ,NYSE,HSY,_- Consumer Staples / Packaged Foods & Meats
Hess Corp. ,NYSE,HES,_- Energy / Integrated Oil & Gas
Hewlett-Packard Company ,NYSE,HPQ,_- Information Technology / Computer Hardware
Home Depot Inc ,NYSE,HD,_- Consumer Discretionary / Home Improvement Retail
Honeywell International Inc. ,NYSE,HON,_- Industrials / Industrial Conglomerates
Hormel Foods Corp ,NYSE,HRL,_- Consumer Staples / Packaged Foods & Meats
"Hospira, Inc. ",NYSE,HSP,_- Health Care / Health Care Equipment & Services
Host Hotels and Resorts Inc ,NYSE,HST,_- Financials / REITs
"Hudson City Bancorp, Inc. ",NASDAQ,HCBK,_- Financials / Thrifts & Mortgage Finance
Humana Inc ,NYSE,HUM,_- Health Care / Managed Health Care
Huntington Bancshares Incorporated ,NASDAQ,HBAN,_- Financials / Banks
Illinois Tool Works Inc. ,NYSE,ITW,_- Industrials / Industrial Machinery
Ingersoll-Rand PLC ,NYSE,IR,_- Industrials / Industrial Conglomerates
"Integrys Energy Group, Inc. ",NYSE,TEG,_- Utilities / MultiUtilities
Intel Corporation ,NASDAQ,INTC,_- Information Technology / Semiconductors
Intercontinental Exchange Inc ,NYSE,ICE,_- Financials / Diversified Financial Services
International Business Machines Corp. ,NYSE,IBM,_- Information Technology / IT Consulting & Services
International Paper Co ,NYSE,IP,_- Materials / Paper Products
Interpublic Group of Companies Inc ,NYSE,IPG,_- Consumer Discretionary / Advertising
International Flavors & Fragrances Inc ,NYSE,IFF,_- Materials / Specialty Chemicals
Intuit Inc. ,NASDAQ,INTU,_- Information Technology / Internet Software & Services
"Intuitive Surgical, Inc. ",NASDAQ,ISRG,_- Health Care / Health Care Equipment & Services
Invesco Ltd. ,NYSE,IVZ,_- Financials / Asset Management & Custody Banks
Iron Mountain Inc ,NYSE,IRM,_- Industrials / Data Processing Services
Jacobs Engineering Group Inc ,NYSE,JEC,_- Industrials / Industrial Conglomerates
Johnson & Johnson ,NYSE,JNJ,_- Health Care / Health Care Equipment & Services
Johnson Controls Inc ,NYSE,JCI,_- Consumer Discretionary / Auto Parts & Equipment
Joy Global Inc. ,NYSE,JOY,_- Industrials / Industrial Machinery
JPMorgan Chase & Co. ,NYSE,JPM,_- Financials / Banks
"Juniper Networks, Inc. ",NYSE,JNPR,_- Information Technology / Networking Equipment
Kansas City Southern ,NYSE,KSU,_- Industrials / Railroads
Kellogg Company ,NYSE,K,_- Consumer Staples / Packaged Foods & Meats
KeyCorp ,NYSE,KEY,_- Financials / Banks
Keurig Green Mountain Inc ,NASDAQ,GMCR,_- Consumer Staples / Packaged Foods & Meats
Kimberly Clark Corp ,NYSE,KMB,_- Consumer Staples / Household Products
Kimco Realty Corp ,NYSE,KIM,_- Financials / REITs
Kinder Morgan Inc ,NYSE,KMI,_- Energy / Oil & Gas Refining & Marketing & Transportation
KLA-Tencor Corp ,NASDAQ,KLAC,_- Information Technology / Semiconductor Equipment
Kohl's Corporation ,NYSE,KSS,_- Consumer Discretionary / General Merchandise Stores
Kraft Foods Group Inc ,NASDAQ,KRFT,_- Consumer Staples / Packaged Foods & Meats
Kroger Co ,NYSE,KR,_- Consumer Staples / Food Retail
L Brands Inc ,NYSE,LB,_- Consumer Discretionary / Apparel Retail
"L-3 Communications Holdings, Inc. ",NYSE,LLL,_- Industrials / Industrial Conglomerates
Laboratory Corp. of America Holdings ,NYSE,LH,_- Health Care / Health Care Facilities
Lam Research Corporation ,NASDAQ,LRCX,_- Information Technology / Semiconductor Equipment
Legg Mason Inc ,NYSE,LM,_- Financials / Asset Management & Custody Banks
"Leggett & Platt, Inc. ",NYSE,LEG,_- Industrials / Industrial Conglomerates
Lennar Corporation ,NYSE,LEN,_- Consumer Discretionary / Homebuilding
"Level 3 Communications, Inc. ",NYSE,LVLT,_- Telecommunications Services / Alternative Carriers
Leucadia National Corp. ,NYSE,LUK,_- Financials / Multi-Sector Holdings
Eli Lilly and Co ,NYSE,LLY,_- Health Care / Pharmaceuticals
